[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         11148287 function calls (10944247 primitive calls) in 68.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3552   43.161    0.012   43.161    0.012 {built-in method torch._C._nn.linear}
      576    6.508    0.011    6.508    0.011 {built-in method torch._C._nn.scaled_dot_product_attention}
      576    3.459    0.006    3.459    0.006 {built-in method torch._C._nn.gelu}
       21    3.438    0.164    3.438    0.164 {method 'read' of '_ssl._SSLSocket' objects}
     1248    0.783    0.001    0.783    0.001 {built-in method torch.layer_norm}
        2    0.766    0.383    0.836    0.418 c_parser_wrapper.py:222(read)
       96    0.570    0.006    0.570    0.006 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
      576    0.563    0.001   34.167    0.059 pytorch_utils.py:175(apply_chunking_to_forward)
      576    0.409    0.001   18.715    0.032 modeling_bert.py:506(forward)
  192/191    0.379    0.002    0.381    0.002 {built-in method _imp.create_dynamic}
      576    0.343    0.001   14.799    0.026 modeling_bert.py:519(forward)
      576    0.334    0.001    4.377    0.008 modeling_bert.py:433(forward)
     3696    0.284    0.000    0.590    0.000 import_utils.py:2309(fetch__all__)
     4097    0.262    0.000    0.262    0.000 {built-in method marshal.loads}
  2940820    0.215    0.000    0.215    0.000 {method 'startswith' of 'str' objects}
      288    0.187    0.001    0.187    0.001 {built-in method torch.embedding}
   7103/1    0.182    0.000   68.529   68.529 {built-in method builtins.exec}
     5884    0.174    0.000    0.181    0.000 generic.py:6255(__finalize__)
     3937    0.148    0.000    0.170    0.000 {method 'read' of '_io.TextIOWrapper' objects}
 1064/319    0.142    0.000    1.034    0.003 import_utils.py:2351(create_import_structure_from_path)
11136/288    0.133    0.000   56.686    0.197 module.py:1755(_call_impl)
    13920    0.131    0.000    0.131    0.000 {method 'splitlines' of 'str' objects}
     2973    0.118    0.000    0.189    0.000 SentenceTransformer.py:1999(<listcomp>)
    36447    0.116    0.000    0.117    0.000 {built-in method posix.stat}
1674969/1641076    0.108    0.000    0.116    0.000 {built-in method builtins.len}
    15253    0.099    0.000    0.103    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.099    0.099    0.099    0.099 {built-in method _socket.getaddrinfo}
        1    0.099    0.099    0.099    0.099 {method 'connect' of '_socket.socket' objects}
    15253    0.097    0.000    0.112    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       96    0.092    0.001    0.347    0.004 modeling_bert.py:149(forward)
     4114    0.090    0.000    0.090    0.000 {method 'read' of '_io.BufferedReader' objects}
      371    0.088    0.000    0.088    0.000 {built-in method torch.tensor}
        1    0.088    0.088    0.088    0.088 {method 'do_handshake' of '_ssl._SSLSocket' objects}
7854/7742    0.086    0.000    0.380    0.000 {built-in method builtins.__build_class__}
834758/824491    0.085    0.000    0.112    0.000 {built-in method builtins.isinstance}
     5037    0.082    0.000    0.082    0.000 {built-in method _codecs.utf_8_decode}
     1382    0.068    0.000    0.068    0.000 {method 'to' of 'torch._C.TensorBase' objects}
     6633    0.065    0.000    0.077    0.000 functools.py:35(update_wrapper)
     4099    0.064    0.000    0.064    0.000 {built-in method io.open_code}
       96    0.053    0.001    0.137    0.001 Pooling.py:135(forward)
 7293/666    0.052    0.000    4.973    0.007 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.050    0.017   57.747   19.249 SentenceTransformer.py:826(encode)
217017/216897    0.050    0.000    0.153    0.000 {built-in method builtins.getattr}
        1    0.048    0.048    0.048    0.048 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       96    0.046    0.000   56.050    0.584 modeling_bert.py:619(forward)
    45141    0.045    0.000    0.074    0.000 posixpath.py:71(join)
     1028    0.044    0.000    0.068    0.000 _ops.py:1051(__init__)
11136/288    0.034    0.000   56.687    0.197 module.py:1747(_wrapped_call_impl)
     4485    0.033    0.000    0.038    0.000 {built-in method io.open}
     5853    0.033    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    23620    0.033    0.000    0.033    0.000 module.py:1927(__getattr__)
      576    0.033    0.000   17.337    0.030 modeling_bert.py:332(forward)
    11329    0.032    0.000    0.032    0.000 {built-in method torch._C._get_tracing_state}
4853/3179    0.031    0.000    0.161    0.000 inspect.py:2375(_signature_from_callable)
     1728    0.030    0.000    0.030    0.000 {method 'view' of 'torch._C.TensorBase' objects}
