[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         2362319229 function calls (2358581797 primitive calls) in 1044.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1182000  479.215    0.000  857.512    0.001 managers.py:958(fast_xs)
1400364159  214.585    0.000  234.423    0.000 blocks.py:1319(iget)
677174536   50.289    0.000   50.289    0.000 blocks.py:268(mgr_locs)
  1182000   47.838    0.000   47.839    0.000 managers.py:984(<listcomp>)
     3552   44.780    0.013   44.780    0.013 {built-in method torch._C._nn.linear}
        1   16.498   16.498 1044.941 1044.941 ECS_CA4_P3.py:1(<module>)
  1183159   10.807    0.000   32.248    0.000 cast.py:1442(find_common_type)
  1183927    8.651    0.000    8.651    0.000 {built-in method fromkeys}
      576    6.752    0.012    6.752    0.012 {built-in method torch._C._nn.scaled_dot_product_attention}
44564836/44561698    6.618    0.000    9.846    0.000 {built-in method builtins.isinstance}
  1182007    6.319    0.000  883.650    0.001 frame.py:3988(_ixs)
  1180000    5.877    0.000   10.255    0.000 datetimes.py:547(_box_func)
  2321159    4.674    0.000    6.957    0.000 managers.py:1012(iget)
  2320000    4.578    0.000   38.979    0.000 indexing.py:2529(__setitem__)
  1163155    4.272    0.000    4.472    0.000 cast.py:1401(np_find_common_type)
  3505332    4.030    0.000    4.473    0.000 base.py:3784(get_loc)
  1182039    3.896    0.000    5.676    0.000 generic.py:6255(__finalize__)
  1183152    3.740    0.000  898.087    0.001 indexing.py:1719(_getitem_axis)
       21    3.657    0.174    3.657    0.174 {method 'read' of '_ssl._SSLSocket' objects}
15771253/12193957    3.467    0.000    5.311    0.000 {built-in method builtins.len}
  2320000    3.450    0.000   30.047    0.000 frame.py:4545(_set_value)
  2322312    3.382    0.000    4.432    0.000 cast.py:1778(np_can_hold_element)
  1190222    3.360    0.000    3.360    0.000 {built-in method numpy.empty}
  1180005    3.269    0.000    3.269    0.000 {method 'view' of 'numpy.generic' objects}
      576    3.235    0.006    3.235    0.006 {built-in method torch._C._nn.gelu}
  3547242    3.173    0.000    3.184    0.000 generic.py:6320(__setattr__)
  1180004    3.106    0.000    3.221    0.000 utils.py:419(check_array_indexer)
  1180004    3.027    0.000   17.422    0.000 _mixins.py:278(__getitem__)
  1183000    2.656    0.000   12.201    0.000 series.py:1104(__getitem__)
  1183152    2.442    0.000  902.865    0.001 indexing.py:1176(__getitem__)
  2321152    2.404    0.000   22.459    0.000 managers.py:1298(column_setitem)
  2320000    2.353    0.000    9.168    0.000 base.py:341(setitem_inplace)
  1184351    2.286    0.000    3.964    0.000 blocks.py:2789(new_block)
  1183234    2.275    0.000    2.949    0.000 generic.py:278(__init__)
  1180004    2.224    0.000   19.839    0.000 datetimelike.py:390(__getitem__)
  2320000    2.212    0.000   43.243    0.000 indexing.py:2577(__setitem__)
2402361/2399878    2.107    0.000    5.814    0.000 {built-in method builtins.any}
  1183000    2.005    0.000    7.041    0.000 series.py:1229(_get_value)
  4684000    1.928    0.000    2.874    0.000 managers.py:291(arrays)
  2320000    1.924    0.000   11.833    0.000 managers.py:2021(setitem_inplace)
  7009635    1.912    0.000    2.698    0.000 common.py:372(apply_if_callable)
  6960000    1.825    0.000    3.271    0.000 indexing.py:2531(<genexpr>)
  4684000    1.712    0.000    4.586    0.000 base.py:332(array)
  1182007    1.683    0.000    8.181    0.000 frame.py:678(_constructor_sliced_from_mgr)
  2369617    1.645    0.000    2.681    0.000 indexing.py:2765(check_dict_or_set_indexers)
  7110465    1.548    0.000    2.561    0.000 cast.py:1472(<genexpr>)
  4757517    1.462    0.000    1.902    0.000 generic.py:37(_check)
  2320000    1.375    0.000    1.637    0.000 indexing.py:2562(_axes_are_unique)
  1186712    1.373    0.000    1.680    0.000 blocks.py:2747(get_block_type)
  4757517    1.319    0.000    3.221    0.000 generic.py:42(_instancecheck)
  1182000    1.317    0.000    1.473    0.000 range.py:1009(__getitem__)
